기간	자치구	성별	합계	한국계 중국인	중국(한국계 중국인 제외)	미국	타이완	일본	베트남	몽골	필리핀	캐나다	인도	우즈베키스탄	영국	프랑스	타이	러시아	독일	오스트레일리아	네팔	파키스탄	인도네시아	나이지리아	말레이시아	방글라데시	캄 보 디 아	사우디아라비아	홍       콩	뉴질랜드	카자흐스탄	스 리 랑 카	남아프리카 공화국	미  얀  마	싱 가 포 르	이       란	브  라  질	아 일 랜 드	스  웨  덴	이 탈 리 아	터       키	네 덜 란 드	키르기스스탄	멕  시  코	스  페  인	우크라이나	스  위  스	핀  란  드	가       나	벨  기  에	폴  란  드	이  집  트	오스트리아	수       단	아르헨티나	오       만	이 스 라 엘	페       루	덴  마  크	모  로  코	이  라  크	기       타
2018.1/4	서대문구	계	12,560	898	4,226	819	2,382	546	710	130	137	135	131	55	139	250	155	97	117	60	28	28	83	6	126	19	48	13	286	16	68	7	14	38	55	37	18	10	31	36	25	52	15	19	29	12	13	29	6	22	12	12	11	3	4	-	7	6	13	12	1	303
2018.1/4	서대문구	남자	4,167	408	999	337	1,131	80	184	37	30	63	76	27	75	93	15	23	47	31	17	18	13	2	27	10	12	4	48	9	24	5	10	13	16	21	4	7	15	19	6	26	4	5	20	2	6	8	2	7	4	6	3	2	1	-	3	2	5	3	-	102
2018.1/4	서대문구	여자	8,393	490	3,227	482	1,251	466	526	93	107	72	55	28	64	157	140	74	70	29	11	10	70	4	99	9	36	9	238	7	44	2	4	25	39	16	14	3	16	17	19	26	11	14	9	10	7	21	4	15	8	6	8	1	3	-	4	4	8	9	1	201
2018.1/4	마포구	계	10,882	1,343	3,238	1,024	1,413	961	363	46	88	120	119	42	123	261	139	85	98	62	51	31	79	4	78	27	38	35	224	21	29	15	11	15	62	30	13	24	20	44	17	51	9	22	29	12	18	14	3	13	11	72	8	1	5	-	1	8	13	31	-	168
2018.1/4	마포구	남자	4,244	639	888	485	635	379	105	16	21	71	79	22	82	112	34	22	45	34	31	22	19	2	25	13	14	17	41	16	7	14	6	6	13	15	7	20	12	18	6	18	1	13	13	6	7	4	3	7	4	71	3	1	4	-	1	2	4	21	-	68
2018.1/4	마포구	여자	6,638	704	2,350	539	778	582	258	30	67	49	40	20	41	149	105	63	53	28	20	9	60	2	53	14	24	18	183	5	22	1	5	9	49	15	6	4	8	26	11	33	8	9	16	6	11	10	-	6	7	1	5	-	1	-	-	6	9	10	-	100
2018.1/4	양천구	계	3,866	1,864	750	120	204	120	288	63	121	45	9	28	23	8	25	20	3	10	4	15	6	1	6	9	26	-	7	1	4	24	3	12	1	5	3	2	3	-	1	1	-	4	3	3	-	-	-	-	1	1	-	-	-	-	-	2	-	2	-	15
2018.1/4	양천구	남자	1,780	1,006	295	70	106	13	64	19	36	26	5	5	15	7	2	2	2	6	2	13	3	1	2	6	11	-	1	-	1	24	2	10	-	4	2	1	2	-	1	1	-	2	1	-	-	-	-	-	-	1	-	-	-	-	-	1	-	1	-	8
2018.1/4	양천구	여자	2,086	858	455	50	98	107	224	44	85	19	4	23	8	1	23	18	1	4	2	2	3	-	4	3	15	-	6	1	3	-	1	2	1	1	1	1	1	-	-	-	-	2	2	3	-	-	-	-	1	-	-	-	-	-	-	1	-	1	-	7
2018.1/4	강서구	계	6,665	2,740	1,213	219	316	301	372	74	164	89	80	76	70	20	48	104	25	37	13	18	63	4	57	18	83	1	16	18	20	10	15	74	6	6	37	11	5	22	2	15	5	20	13	-	5	1	2	11	10	11	14	-	2	-	1	3	1	1	-	103
2018.1/4	강서구	남자	3,227	1,393	430	136	167	64	83	23	39	77	49	29	53	14	13	57	19	34	11	15	32	4	49	15	59	1	3	16	6	10	10	71	5	3	32	11	5	21	2	14	-	18	9	-	5	1	1	10	6	10	12	-	2	-	-	2	1	-	-	75
2018.1/4	강서구	여자	3,438	1,347	783	83	149	237	289	51	125	12	31	47	17	6	35	47	6	3	2	3	31	-	8	3	24	-	13	2	14	-	5	3	1	3	5	-	-	1	-	1	5	2	4	-	-	-	1	1	4	1	2	-	-	-	1	1	-	1	-	28
2018.1/4	구로구	계	32,027	24,164	6,044	92	181	206	437	84	103	24	42	35	24	21	40	31	10	9	14	42	25	5	46	26	49	-	19	1	31	20	5	90	5	2	4	2	3	8	4	1	11	2	1	5	1	1	-	1	4	4	2	-	1	-	-	1	-	4	-	40
2018.1/4	구로구	남자	18,172	14,656	2,685	60	85	49	145	32	38	18	33	16	17	11	8	9	5	8	8	33	14	4	27	24	21	-	4	1	24	19	2	65	1	2	2	1	2	2	3	-	6	1	-	1	1	1	-	1	1	4	1	-	-	-	-	-	-	2	-	19
2018.1/4	구로구	여자	13,855	9,508	3,359	32	96	157	292	52	65	6	9	19	7	10	32	22	5	1	6	9	11	1	19	2	28	-	15	-	7	1	3	25	4	-	2	1	1	6	1	1	5	1	1	4	-	-	-	-	3	-	1	-	1	-	-	1	-	2	-	21
2018.1/4	금천구	계	19,106	14,848	3,003	34	64	80	421	97	136	11	13	24	4	7	37	16	5	3	41	20	38	-	6	21	64	-	7	-	7	16	-	41	-	1	1	2	-	1	4	-	11	-	1	2	-	-	-	-	1	4	-	-	-	-	-	2	1	-	-	11
2018.1/4	금천구	남자	10,768	8,864	1,297	19	33	11	143	55	62	7	9	10	3	5	18	7	2	2	27	17	32	-	4	19	38	-	1	-	6	14	-	41	-	1	1	1	-	-	1	-	6	-	1	-	-	-	-	-	1	3	-	-	-	-	-	1	1	-	-	5
2018.1/4	금천구	여자	8,338	5,984	1,706	15	31	69	278	42	74	4	4	14	1	2	19	9	3	1	14	3	6	-	2	2	26	-	6	-	1	2	-	-	-	-	-	1	-	1	3	-	5	-	-	2	-	-	-	-	-	1	-	-	-	-	-	1	-	-	-	6
2018.1/4	영등포구	계	34,860	26,849	5,931	189	372	189	268	33	86	45	47	31	30	33	56	35	20	10	40	23	138	3	9	14	58	2	43	7	10	13	9	132	5	1	4	10	3	11	4	7	3	3	5	5	2	2	-	4	1	10	3	-	-	-	1	-	1	5	-	45
2018.1/4	영등포구	남자	19,345	15,647	2,665	110	179	40	79	16	20	27	35	15	23	19	28	4	16	6	31	21	71	3	3	14	48	-	5	5	5	13	5	124	1	1	-	4	1	6	2	4	1	1	4	2	2	-	-	2	-	8	3	-	-	-	-	-	1	5	-	20
2018.1/4	영등포구	여자	15,515	11,202	3,266	79	193	149	189	17	66	18	12	16	7	14	28	31	4	4	9	2	67	-	6	-	10	2	38	2	5	-	4	8	4	-	4	6	2	5	2	3	2	2	1	3	-	2	-	2	1	2	-	-	-	-	1	-	-	-	-	25
2018.1/4	동작구	계	12,362	5,743	4,334	201	166	149	676	75	66	25	52	51	27	88	46	59	35	6	8	45	30	4	21	8	40	-	19	11	15	27	4	22	11	5	8	8	5	10	13	8	12	4	15	7	6	3	7	3	4	12	-	1	1	-	-	10	-	5	1	150
2018.1/4	동작구	남자	5,633	3,006	1,603	113	61	26	258	20	9	15	39	27	20	64	20	12	18	3	6	34	9	3	7	6	20	-	3	9	3	10	3	15	4	3	4	7	3	4	8	7	5	2	11	3	4	1	6	2	1	9	-	1	-	-	-	5	-	2	1	98
2018.1/4	동작구	여자	6,729	2,737	2,731	88	105	123	418	55	57	10	13	24	7	24	26	47	17	3	2	11	21	1	14	2	20	-	16	2	12	17	1	7	7	2	4	1	2	6	5	1	7	2	4	4	2	2	1	1	3	3	-	-	1	-	-	5	-	3	-	52
2018.1/4	관악구	계	17,847	10,606	3,477	276	149	308	651	183	107	68	148	100	70	112	101	87	103	35	49	55	107	12	57	40	63	4	47	4	47	18	13	30	28	68	17	11	9	23	41	18	29	19	27	16	13	6	14	9	13	14	10	2	4	3	4	6	6	14	1	295
2018.1/4	관악구	남자	8,517	5,666	1,278	161	41	60	205	61	16	44	94	46	41	65	24	20	60	23	32	39	33	5	19	28	38	2	10	3	10	13	7	13	16	30	11	8	5	12	16	14	12	9	14	5	10	-	11	5	5	9	5	1	2	1	1	2	3	6	-	147
2018.1/4	관악구	여자	9,330	4,940	2,199	115	108	248	446	122	91	24	54	54	29	47	77	67	43	12	17	16	74	7	38	12	25	2	37	1	37	5	6	17	12	38	6	3	4	11	25	4	17	10	13	11	3	6	3	4	8	5	5	1	2	2	3	4	3	8	1	148
2018.1/4	서초구	계	4,210	746	661	489	129	273	104	32	111	99	85	31	94	569	29	51	76	36	7	13	14	3	20	1	24	26	13	11	9	3	7	19	34	1	22	6	9	33	72	9	2	8	15	16	11	5	1	19	11	10	2	-	-	-	8	6	6	3	-	116
